,course_id,title,url,is_paid,old_price,old_subscribers,num_reviews,num_lectures,level,duration,old_pub_date,subject,status,rating1,rating2,rating3,rating4,rating5,rating_tot,new_subscribers,new_pub_date,upd_month,new_price,curr_price,discount,timestamp,old_revenue,new_revenue,student_lect,lect_price,cum_new_subsc,cum_old_subsc,new_perc_subs,old_perc_subs,new_cat,old_cat
927,56926,School of Raising Capital: Agile Financial Modeling,https://www.udemy.com/agilefinancialmodeling/,True,20,12,1,11,All Levels,1.5,2013-06-28T16:41:04Z,Business Finance,OK,0.0,1.0,0.0,0.0,0.0,1.0,14.0, 6/2013,85.0,79.99,47.99,40.0, 2020-07-09 14:06:12 ,240,1119.86,132,1.8181818181818181,1.2913799216249785e-05,8.642022278212981e-05,5.667498088636269e-07,1.22726943595924e-06,1,1
2472,218596,Aprende a tocar la trompeta,https://www.udemy.com/aprende-a-tocar-la-trompeta-desde-cero/,True,50,6,2,30,All Levels,3.0,2014-05-19T16:44:04Z,Musical Instruments,OK,0.0,2.0,1.0,1.0,3.0,7.0,14.0, 5/2014,74.0,199.99,119.99,40.0, 2020-07-09 15:44:42 ,300,2799.86,180,1.6666666666666667,1.3480549025113412e-05,2.5670385702147436e-05,5.667498088636269e-07,6.1363471797962e-07,1,1
1081,1027678,"Depreciation, Amortization and Depletion",https://www.udemy.com/depreciation-amor/,True,25,7,1,13,Intermediate Level,1.0,2017-03-06T23:59:02Z,Business Finance,OK,0.0,0.0,2.0,0.0,1.0,3.0,14.0, 3/2017,40.0,99.99,59.99,40.0, 2020-07-09 14:19:28 ,175,1399.86,91,1.9230769230769231,1.404729883397704e-05,3.231809514692665e-05,5.667498088636269e-07,7.159071709762233e-07,1,1
1719,1008654,Learn Photo Manipulation - Build 3 projects,https://www.udemy.com/learn-photo-manipulation-build-3-projects/,True,40,10,1,18,All Levels,2.5,2016-11-27T16:01:42Z,Graphic Design,OK,0.0,0.0,0.0,0.0,1.0,1.0,14.0, 11/2016,44.0,159.99,95.99,40.0, 2020-07-09 14:47:16 ,400,2239.86,180,2.2222222222222223,1.4614048642840667e-05,6.0954381985975585e-05,5.667498088636269e-07,1.0227245299660334e-06,1,1
2476,218856,Aprende a tocar la flauta dulce de forma sencilla y gradual,https://www.udemy.com/aprende-a-tocar-la-flauta-dulce-curso-en-video/,True,50,5,0,23,All Levels,3.0,2014-05-19T16:49:04Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,1.0,1.0,14.0, 5/2014,74.0,199.99,119.99,40.0, 2020-07-09 15:44:52 ,250,2799.86,115,2.1739130434782608,1.5180798451704293e-05,2.2090849847266318e-05,5.667498088636269e-07,5.113622649830167e-07,1,1
2093,269832,Rhythm to Rock Drum Lesson 6,https://www.udemy.com/rhythm-to-rock-drum-lesson-6/,True,20,12,1,13,Beginner Level,1.5,2014-08-21T01:51:51Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,2.0,2.0,15.0, 8/2014,71.0,79.99,47.99,40.0, 2020-07-09 15:26:10 ,240,1199.85,156,1.5384615384615385,1.5788030389772464e-05,9.010203109000753e-05,6.072319380681718e-07,1.22726943595924e-06,1,1
1084,1193288,Accounting Simplified,https://www.udemy.com/accounting-simplified/,True,30,3,0,41,All Levels,8.5,2017-05-03T16:14:01Z,Business Finance,OK,0.0,0.0,1.0,1.0,2.0,4.0,15.0, 5/2017,38.0,79.99,47.99,40.0, 2020-07-09 14:19:36 ,90,1199.85,123,0.7317073170731707,1.6395262327840638e-05,8.181796239728267e-06,6.072319380681718e-07,3.0681735898981e-07,1,1
1557,1105636,How to Design A 2D Character in Illustrator,https://www.udemy.com/2d-character-in-illustrator/,True,20,1,1,9,Beginner Level,1.0,2017-02-08T22:04:43Z,Graphic Design,OK,1.0,2.0,0.0,0.0,2.0,5.0,15.0, 2/2017,41.0,79.99,47.99,40.0, 2020-07-09 14:41:08 ,20,1199.85,9,2.2222222222222223,1.7002494265908808e-05,8.181796239728266e-07,6.072319380681718e-07,1.0227245299660332e-07,1,1
2238,266004,Rhythm to Rock Drum Lesson 4,https://www.udemy.com/rhythm-to-rock-drum-lesson-4/,True,20,12,3,12,Beginner Level,1.5,2014-08-18T22:06:31Z,Musical Instruments,OK,0.0,0.0,0.0,1.0,3.0,4.0,15.0, 8/2014,71.0,79.99,47.99,40.0, 2020-07-09 15:31:41 ,240,1199.85,144,1.6666666666666667,1.7609726203976982e-05,9.378383939788524e-05,6.072319380681718e-07,1.22726943595924e-06,1,1
1016,614668,8 Steps To Achieve Financial Freedom And Escape Debt,https://www.udemy.com/achieve-financial-freedom-and-escape-debt/,True,40,5,0,48,Beginner Level,5.5,2015-11-13T17:43:47Z,Business Finance,OK,0.0,0.0,0.0,0.0,2.0,2.0,15.0, 12/2015,55.0,99.99,59.99,40.0, 2020-07-09 14:09:17 ,200,1499.85,240,0.8333333333333334,1.8216958142045152e-05,2.1068125317300284e-05,6.072319380681718e-07,5.113622649830167e-07,1,1
